publisher,app_name,discount_price,price,early_access,id,developer,metascore,year,genre1,genre2,genre3,genre4,genre5
Kotoshiro,Lost Summoner Kitty,4.49,4.99,False,761140,Kotoshiro,,2018,Action,Casual,Indie,Simulation,Strategy
彼岸领域,弹炸人2222,0.83,0.99,False,767400,彼岸领域,,2017,Action,Adventure,Casual,,
Stegalosaurus Game Development,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,8.79,10.99,False,770380,Stegalosaurus Game Development,,2018,Action,Adventure,Casual,Indie,RPG
Apillo,The first thrust of God - All Aircrafts,1.59,1.99,False,773690,Apillo,,2018,Adventure,Casual,Indie,Simulation,Strategy
Tero Lunkka,The Warrior Of Treasures,0.59,0.99,False,768060,Tero Lunkka,,2018,Action,Adventure,Indie,,
ETGgames,Vaporwave Simulator,0.84,0.99,False,766850,ETGgames,,2018,Casual,Indie,Simulation,,
Ultraint,Souland,6.79,7.99,True,759920,Ultraint,,2017,Action,Indie,Strategy,Early Access,
TPM.CO SOFT WORKS,TAROTICA VOO DOO,9.89,10.99,False,603280,TPM.CO SOFT WORKS,,2017,Action,Adventure,Indie,RPG,
Wonderbox Games,Chronicles of Vinland,5.99,9.99,True,753110,Wonderbox Games,,2017,Casual,Strategy,Early Access,,
Wonderbox Games,Orbitality,5.99,9.99,False,753100,Wonderbox Games,,2017,Action,Indie,,,
Tomkorp Computer Solutions Inc.,Clones,0.49,4.99,False,72400,Tomkorp Computer Solutions Inc.,,2010,Adventure,Indie,,,
Awesome Games Studio,Oozi: Earth Adventure,0.74,4.99,False,257990,Awesome Games Studio,66.0,2013,Casual,Indie,,,
EQ Games,Sun Blast: Star Fighter,0.49,1.99,False,344910,OBLONE Software,,2015,Action,Adventure,Indie,,
IPBuilders,DRAGON: A Game About a Dragon,0.49,4.99,False,351150,Games With Dragons In,,2015,Adventure,Indie,,,
EQ Games,Tiny Bridge: Ratventure,0.49,4.99,False,360380,Estelion,,2015,Adventure,Indie,Strategy,,
Mystik'Art,Rolling Sun,0.49,4.99,False,371670,Mystik'Art,,2015,Adventure,Indie,Strategy,,
DYA Games,Super Star Path Soundtrack,0.89,0.99,False,378910,DYA Games,,2015,Indie,,,,
Hi-Rez Studios,SMITE® - Ultimate God Pack,14.99,29.99,False,387440,Hi-Rez Studios,,2015,Action,Free to Play,,,
Light Vision Interactive,Steam Pack,6.29,29.99,False,407800,Light Vision Interactive,,2015,Free to Play,Massively Multiplayer,Strategy,,
Light Vision Interactive,Universal Pack,3.14,14.99,False,410450,Light Vision Interactive,,2015,Free to Play,Massively Multiplayer,Strategy,,
Team Indev,Squirbs,0.49,4.99,False,429700,Team Indev,,2016,Action,Adventure,Indie,,
ANPA.US,Dinosaur Hunt - Medieval Knights Hunter Expansion Pack,0.49,0.99,False,434940,ANPA.US,,2016,Action,Adventure,Indie,Simulation,
Fish Factory Media,Defy Gravity - Soundtrack,0.49,0.99,False,451030,Paul Fisch,,2016,Action,Indie,,,
Chandler Rounsley,Sins Of The Demon RPG,0.49,1.99,False,461640,Chandler Rounsley,,2016,Action,Adventure,Indie,RPG,
"NIS America, Inc.",Phantom Brave PC / ファントム・ブレイブ PC,7.49,14.99,False,409870,"Nippon Ichi Software, Inc.",,2016,RPG,,,,
Hi-Rez Studios,Paladins® - Founder's Pack,13.39,19.99,False,444120,Hi-Rez Studios,,2016,Action,Free to Play,,,
Aatlantis Code,SugarMill,10.49,14.99,True,538990,Aatlantis Code,,2016,Indie,Simulation,Strategy,Early Access,
Shiro Games,Northgard,14.99,19.99,True,466560,Shiro Games,,2017,Indie,Simulation,Strategy,Early Access,
Awesome Games Studio,Badass Hero,7.99,9.99,True,465200,Awesome Games Studio,,2017,Action,Adventure,Indie,RPG,Early Access
Red Dahlia,Zoop! - Hunter's Grimm,0.49,1.99,False,577460,Warfare Studios,,2017,Action,Adventure,Indie,RPG,
Winking Entertainment,XAOC 月圓奏鼓祭 Luna Fiesta - Original Soundtrack -,3.59,3.99,False,702330,WindThunder Studio,,2017,Massively Multiplayer,RPG,,,
Winking Entertainment,The Art of XAOC,2.69,2.99,False,704160,WindThunder Studio,,2017,Massively Multiplayer,RPG,,,
THQ Nordic,Battle Chasers: Nightwar Digital Extras,4.68,6.99,False,712630,Airship Syndicate,,2017,Indie,RPG,,,
GexagonVR,Qbike: Crypto Motorcycles,4.19,5.99,True,713610,GexagonVR,,2017,Adventure,Casual,Indie,Racing,Simulation
Fourfold Games,Xenomarine,8.99,9.99,True,676830,Fourfold Games,,2017,Adventure,Indie,RPG,Strategy,Early Access
alexeibelih,Zombie Pop,0.62,0.99,False,739350,alexeibelih,,2017,Casual,Indie,,,
Albatross Wirehead,Death Rings of Jupiter,2.99,5.99,False,691620,Albatross Wirehead,,2017,Action,Indie,RPG,,
2K,Hidden & Dangerous: Action Pack,4.19,5.99,False,703310,Illusion Softworks,74.0,2000,Action,Strategy,,,
Crystal Shard,A Tale of Two Soundtracks,2.39,2.99,False,649020,Crystal Shard,,2017,Adventure,Indie,,,
Square Enix,Romancing SaGa 2,19.99,24.99,False,606370,"Square Enix,ArtePiazza",,2017,RPG,,,,
Evil Tortilla Games,Cookies vs. Claus,3.49,4.99,True,752910,"Joshua Williams,Evil Tortilla Games Incorporated",,2017,Action,Casual,Indie,Early Access,
Labyrinthine,Labyronia Elements,2.44,6.99,False,750770,Labyrinthine,,2017,Adventure,Indie,RPG,Strategy,
Muzaku,Battle Runner,0.69,0.99,False,749040,Muzaku,,2017,Casual,Indie,,,
Xefier Games Inc.,Space Panic Defense,3.74,4.99,False,746540,Xefier Games Inc.,,2017,Casual,Indie,Strategy,,
Easy game_13,Reflex,0.79,1.99,False,745740,Easy game,,2017,Action,Casual,Indie,,
LeshaWhite Studio,My Loved Heart,0.62,0.99,False,727560,"LeshaWhite Studio,LeshaWhite Studio",,2017,Action,Adventure,Casual,Indie,
LinQ,MinSweeper,1.79,2.99,False,726030,LinQ,,2017,Casual,Indie,Simulation,Strategy,
EHTechnology,Bio Soup,0.62,0.99,False,662330,EHTechnology,,2017,Adventure,Casual,Indie,,
Tower Studios,Sociable Soccer,14.99,19.99,True,636690,Combo Breaker,,2017,Action,Indie,Sports,Early Access,
Bloodline Games,Maybot Run,1.49,2.99,False,715990,Bloodline Games,,2017,Action,Indie,,,
csgood,Boom Island,0.89,2.99,False,717820,Caden Goodwin,,2017,Action,Indie,,,
Jungle Coworking,Bacon Tales - Between Pigs and Wolves,0.59,3.99,False,508200,Uruca Game Studio,,2017,Casual,Indie,Strategy,,
Ionized Games,CAT Interstellar,3.99,4.99,False,384740,Ionized Games,,2017,Adventure,Indie,,,
Gamepainters,Full-On Paintball,10.04,14.99,True,678450,Gamepainters,,2017,Action,Indie,Simulation,Sports,Early Access
Alien Mind,Triton Wing,6.74,8.99,False,691700,Alien Mind,,2017,Action,,,,
Bithell Games,Subsurface Circular,4.79,5.99,False,676820,Bithell Games,83.0,2017,Adventure,Casual,Indie,,
橙光游戏,Mysteries of Fence,2.19,3.99,False,644550,橙光游戏,,2017,Adventure,Casual,Indie,RPG,Simulation
Hi-Rez Studios,Paladins® - Realm Pack,3.34,4.99,False,664770,Hi-Rez Studios,,2017,Action,Free to Play,,,
DYA Games,Strikey Sisters,0.89,0.99,False,643880,DYA Games,,2017,Action,Adventure,Indie,,
ANPA.US,Machine Hunt,0.5,2.99,False,546930,Racing Bros,,2017,Action,Indie,,,
FIVE-BN GAMES,Lost Lands: The Wanderer,5.24,6.99,False,626640,FIVE-BN GAMES,,2017,Adventure,Casual,,,
uegamestudio,I may die!,2.51,3.99,True,560080,uegamestudio,,2017,Action,Adventure,Indie,Early Access,
QuickSave,Dream Stone,1.49,2.99,False,603090,QuickSave,,2017,Adventure,Indie,,,
Indie,Hawks Tactical,1.19,3.99,False,571550,LYS,,2017,Adventure,Indie,RPG,Strategy,
BulatHard,Score a goal (Physical football),0.49,1.99,False,574030,BulatHard,,2016,Casual,Indie,Simulation,Sports,
Winking Entertainment,Heroine Anthem Zero - Original Soundtrack,4.49,4.99,False,571670,WindThunder Studio,,2016,Adventure,Indie,RPG,,
Coffee Addict Studio,Blade & Bones,2.19,10.99,False,513370,Coffee Addict Studio,,2016,Action,Adventure,Indie,RPG,
Rixment,Rocket Craze 3D,1.99,3.99,False,550930,Rixment,,2016,Action,Adventure,Simulation,,
NukGames,Razortron 2000,0.49,0.99,False,539720,NukGames,,2016,Casual,Indie,Racing,,
FIVE-BN GAMES,New York Mysteries: The Lantern of Souls,3.14,6.99,False,511140,FIVE-BN GAMES,,2016,Adventure,Casual,,,
Dima Kiva,Archipelago,0.66,0.99,False,513720,Dima Kiva,,2016,Strategy,,,,
"NIS America, Inc.",Phantom Brave PC / ファントム・ブレイブ PC - Digital Art Book / デジタル・アートブック,1.99,3.99,False,475010,"Nippon Ichi Software, Inc.",,2016,RPG,,,,
Red Dahlia,Storm Of Spears RPG,0.49,1.99,False,463350,Warfare Studios,,2016,Action,Adventure,Indie,RPG,
Semen Rodin,BATTLE PIXEL'S SURVIVAL GROUND,0.49,0.99,False,474790,Semen Rodin,,2016,Action,Adventure,Casual,Indie,Massively Multiplayer
ANPA.US,Dinosaur Hunt - WW2 War Expansion Pack,0.49,1.99,False,434944,ANPA.US,,2016,Action,Adventure,Indie,Simulation,
Advent RPG,Mars 2030,1.99,4.99,False,416070,Advent RPG,,2016,Action,Adventure,Casual,Indie,RPG
MiniBoss,Out There Somewhere - Soundtrack,0.49,0.99,False,450960,MiniBoss,,2016,Action,Adventure,Indie,Simulation,Strategy
Startreming,LocoSoccer,0.49,0.99,False,396360,Startreming,,2015,Indie,Sports,Strategy,,
Light Vision Interactive,Ammunition Pack,2.09,9.99,False,410460,Light Vision Interactive,,2015,Free to Play,Massively Multiplayer,Strategy,,
The Game Creators,GameGuru Mega Pack 3,9.99,24.99,False,321142,The Game Creators,,2015,Action,Adventure,,,
Playboom,Battle Ranch: Pigs vs Plants,0.49,1.99,False,340070,Playboom,,2015,Casual,Indie,Strategy,,
Infinite Monkeys Entertainment Ltd.,Life Goes On: Done to Death,3.24,12.99,False,250050,Infinite Monkeys Entertainment Ltd.,,2014,Action,Adventure,Casual,Indie,
Awesome Games Studio,Yet Another Zombie Defense,0.49,1.99,False,270550,Awesome Games Studio,,2014,Action,Casual,Indie,Strategy,
Lev Gogol,Dolphins-cyborgs and open space,0.59,0.99,False,767170,Lev Gogol,,2017,Casual,Indie,,,
OtakuMaker SARL,COLOR RETRO RACER : ENDURO MODE *Checkpoint Unlock*,0.69,0.99,False,768850,Bacq Stellan,,2017,Action,Casual,Free to Play,Indie,Racing
OtakuMaker SARL,COLOR RETRO RACER : ENDURO MODE *2 Millions of Miles*,0.69,0.99,False,768851,Bacq Stellan,,2017,Action,Casual,Free to Play,Indie,Racing
OtakuMaker SARL,COLOR RETRO RACER : ENDURO MODE *5 Millions of Miles*,1.39,1.99,False,768852,Bacq Stellan,,2017,Action,Casual,Free to Play,Indie,Racing
OtakuMaker SARL,COLOR RETRO RACER : RALLY MODE *5 Lifes*,0.69,0.99,False,768853,Bacq Stellan,,2017,Action,Casual,Free to Play,Indie,Racing
OtakuMaker SARL,COLOR RETRO RACER : RALLY MODE *10 Lifes*,1.39,1.99,False,768854,Bacq Stellan,,2017,Action,Casual,Free to Play,Indie,Racing
OtakuMaker SARL,COLOR RETRO RACER : TRIALS MODE *3 Lifes*,0.69,0.99,False,768855,Bacq Stellan,,2017,Action,Casual,Free to Play,Indie,Racing
OtakuMaker SARL,COLOR RETRO RACER : TRIALS MODE *6 Lifes*,1.39,1.99,False,768856,Bacq Stellan,,2017,Action,Casual,Free to Play,Indie,Racing
Firedog Creative Company Limited,愛神餐館2,31.49,34.99,False,769680,Firedog Creative Company Limited,,2017,RPG,Simulation,,,
