publisher,genres,app_name,tags,discount_price,specs,price,early_access,id,developer,metascore,year
Kotoshiro,"['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",Lost Summoner Kitty,"['Strategy', 'Action', 'Indie', 'Casual', 'Simulation']",4.49,['Single-player'],4.99,False,761140.0,Kotoshiro,,2018
彼岸领域,"['Action', 'Adventure', 'Casual']",弹炸人2222,"['Action', 'Adventure', 'Casual']",0.83,['Single-player'],0.99,False,767400.0,彼岸领域,,2017
Stegalosaurus Game Development,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']",Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,"['Action', 'Adventure', 'RPG', 'Indie', 'Casual']",8.79,"['Single-player', 'Steam Achievements']",10.99,False,770380.0,Stegalosaurus Game Development,,2018
Apillo,"['Adventure', 'Casual', 'Indie', 'Simulation', 'Strategy']",The first thrust of God - All Aircrafts,"['Strategy', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Physics', 'Science']",1.59,"['Single-player', 'Downloadable Content', 'Steam Achievements', 'Steam Cloud']",1.99,False,773690.0,Apillo,,2018
Tero Lunkka,"['Action', 'Adventure', 'Indie']",The Warrior Of Treasures,"['Action', 'Adventure', 'Indie']",0.59,['Single-player'],0.99,False,768060.0,Tero Lunkka,,2018
ETGgames,"['Casual', 'Indie', 'Simulation']",Vaporwave Simulator,"['Casual', 'Indie', 'Simulation']",0.84,['Single-player'],0.99,False,766850.0,ETGgames,,2018
Ultraint,"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",6.79,['Single-player'],7.99,True,759920.0,Ultraint,,2017
TPM.CO SOFT WORKS,"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,"['Indie', 'Action', 'Adventure', 'RPG']",9.89,"['Single-player', 'Partial Controller Support']",10.99,False,603280.0,TPM.CO SOFT WORKS,,2017
Wonderbox Games,"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",5.99,"['Single-player', 'Steam Achievements']",9.99,True,753110.0,Wonderbox Games,,2017
Wonderbox Games,"['Action', 'Indie']",Orbitality,"['Indie', 'Action']",5.99,"['Single-player', 'Steam Achievements']",9.99,False,753100.0,Wonderbox Games,,2017
Tomkorp Computer Solutions Inc.,"['Adventure', 'Indie']",Clones,"['Lemmings', 'Indie', 'Adventure', 'Puzzle', 'Strategy', 'Casual']",0.49,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud', 'Stats', 'Steam Leaderboards', 'Includes level editor']",4.99,False,72400.0,Tomkorp Computer Solutions Inc.,,2010
Awesome Games Studio,"['Casual', 'Indie']",Oozi: Earth Adventure,"['Indie', 'Casual', 'Platformer', 'Singleplayer', 'Side Scroller', '2D']",0.74,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",4.99,False,257990.0,Awesome Games Studio,66.0,2013
